,,TERRENA,,,,,,,,,,,
,Reporte Diario de Ventas,,,,,,,,,,,,
,Hora del reporte:,,,"nov 04 2025, 12:28 PM",,,,,,,,,
,Rango de fechas:,,,sep 01 2025  to sep 30 2025 ,,,,,,,,,
,Caja:,,,TODOS,,,,,,,,,
,Moneda:,,,Precio en MXN ($),,,,,,,,,
Item Sales,,,,,,,,,,,,,
ID,,,Nombre,,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,10 TORTILLA,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,peueva,1.00,,1.0,1.00,0.0,0.0%,0.00,,1.00
0,CHICLES ,2.00,,3.0,6.00,0.0,0.0%,0.00,,6.00
0,EXTRA QUESO DE HEBRA,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,TRIDENTS 2,4.00,,2.0,8.00,0.0,0.0%,0.00,,8.00
0,GALLETA MACADAMIA,35.00,,1.0,35.00,0.0,0.0%,0.00,,35.00
0,semillas,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,MILANESA EMPANIZADA ,25.00,,1.0,25.00,0.0,0.0%,0.00,,25.00
0,DOS PESOS DE TORTILLA,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
0,PAQLOMITAS ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,TORTILLA,5.00,,7.0,35.00,0.0,0.0%,0.00,,35.00
0,healty,30.00,,1.0,30.00,0.0,0.0%,0.00,,30.00
0,10 DE TORTILLA,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
,,,,,,,,,Pag.: 3,
ID,Nombre,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,VASOS,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,GALLETAS HEAlTY,30.00,,1.0,30.00,0.0,0.0%,0.00,,30.00
0,MAKU ,20.00,,9.0,180.00,0.0,0.0%,0.00,,180.00
0,GALLETA MACADAMIA ,35.00,,1.0,35.00,0.0,0.0%,0.00,,35.00
0,EXTRA NUEZ ,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
0,CLORETS ,8.00,,1.0,8.00,0.0,0.0%,0.00,,8.00
0,emillas,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,EXTRA CARNE,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,QUESO MANCHEGO,0.00,,1.0,0.00,0.0,0.0%,0.00,,0.00
0,huevos,5.00,,2.0,10.00,0.0,0.0%,0.00,,10.00
0,VASO 6,12.00,,1.0,12.00,0.0,0.0%,0.00,,12.00
0,PALOMITAS ,20.00,,16.0,320.00,0.0,0.0%,0.00,,320.00
0,MAKU,40.00,,2.0,80.00,0.0,0.0%,0.00,,80.00
0,CHICLES,8.00,,1.0,8.00,0.0,0.0%,0.00,,8.00
0,recarga 100,100.00,,1.0,100.00,0.0,0.0%,0.00,,100.00
0, TORTILLA 5 PESOS,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,MAKUY,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,XTRA POLLO ,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,ESPRESSO,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,EXTRA HUEVO 2,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,RECARGA,50.00,,1.0,50.00,0.0,0.0%,0.00,,50.00
0,##SANTIAGO,0.00,,1.0,0.00,0.0,0.0%,0.00,,0.00
0,ENFRIJOLADA EXTRA ,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,MOLE CON POLLO,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,EXTRA ESPRESSO ,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,extra huevo,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,EXTRA CHORIZO,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,XTRA PASTOR,0.00,,1.0,0.00,0.0,0.0%,0.00,,0.00
0,XTRA POLLO ,7.00,,1.0,7.00,0.0,0.0%,0.00,,7.00
0,tortilla,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,healthy,25.00,,1.0,25.00,0.0,0.0%,0.00,,25.00
0,4 PESOS DE TORTILLA ,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,XTRAPOLLO,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,GALLETA NUEZ,35.00,,1.0,35.00,0.0,0.0%,0.00,,35.00
0,TORTILLA 5 PESOS,5.00,,2.0,10.00,0.0,0.0%,0.00,,10.00
0,palomitgas3,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,healty,35.00,,2.0,70.00,0.0,0.0%,0.00,,70.00
,,,,,,,,,Pag.: 4,
ID,Nombre,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,mAKU,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,5 PESOS DE TORTILLA,5.00,,2.0,10.00,0.0,0.0%,0.00,,10.00
0,4 PESOS DE TORTILLAS,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,TORTILLA 15 PESOS,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,LECHE,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,maku jamaica,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,TORTILLA 4 PESOS,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,CLORETS,8.00,,1.0,8.00,0.0,0.0%,0.00,,8.00
0,Clorets 3,6.00,,1.0,6.00,0.0,0.0%,0.00,,6.00
0,PASTOR,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,TORTILLAS 2 PESOS,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
0,RECARGA TELCEL,50.00,,1.0,50.00,0.0,0.0%,0.00,,50.00
0,EXTRA HUEVO ,15.00,,6.0,90.00,0.0,0.0%,0.00,,90.00
0,TORTILLA,10.00,,2.0,20.00,0.0,0.0%,0.00,,20.00
0,XTRA HEBRA ,1.00,,1.0,1.00,0.0,0.0%,0.00,,1.00
0,CACAHUATES ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,PALO3,20.00,,2.0,40.00,0.0,0.0%,0.00,,40.00
0,huevo ,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,BARRITA,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,HUEVO EXTRA,10.00,,2.0,20.00,0.0,0.0%,0.00,,20.00
0,TORTILLAS,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,10 PESOS TORTILLA ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,EXTRA DE HUEVO ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,EXTRA DE PASTOR ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,malku,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,CHICLES ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,EXTRA CHULETA ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,palomitas,20.00,,2.0,40.00,0.0,0.0%,0.00,,40.00
0,TORTA DE PASTOR ,45.00,,1.0,45.00,0.0,0.0%,0.00,,45.00
0,EXTRA HUEVO ,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,PECHGUGA ASADA,25.00,,1.0,25.00,0.0,0.0%,0.00,,25.00
0,clorets,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,TORTILLAS,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,MAKU,20.00,,116.0,"2,320.00",0.0,0.0%,0.00,,2320.00
0,tridents,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,EXTRA QUESO DE HEBRA ,10.00,,4.0,40.00,0.0,0.0%,0.00,,40.00
0,maku2,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
,,,,,,,,,Pag.: 5,
ID,Nombre,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,5 TORTILLA,5.00,,2.0,10.00,0.0,0.0%,0.00,,10.00
0,XTRA POLLO,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,EXTRA MILANESA ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,JUGO DE NARANJA ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,CACAHUATES,20.00,,5.0,100.00,0.0,0.0%,0.00,,100.00
0,POLLO,12.00,,1.0,12.00,0.0,0.0%,0.00,,12.00
0,CLORETS,2.00,,22.0,44.00,0.0,0.0%,0.00,,44.00
0,EXTRA HUEVO ,7.00,,1.0,7.00,0.0,0.0%,0.00,,7.00
0,CLORETS3,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
0,PRUEBA ,1.00,,1.0,1.00,0.0,0.0%,0.00,,1.00
0,3 TORTILLAS,5.00,,2.0,10.00,0.0,0.0%,0.00,,10.00
0,XTRA HUEVO ,7.00,,1.0,7.00,0.0,0.0%,0.00,,7.00
0,2 PESOS DE TORTILLA ,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
0,EXTRA POLLO,0.00,,1.0,0.00,0.0,0.0%,0.00,,0.00
0,RECARGA ,30.00,,1.0,30.00,0.0,0.0%,0.00,,30.00
0,EXTRA QUESO HEBRA ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,EXTRA HUEVO ,0.00,,1.0,0.00,0.0,0.0%,0.00,,0.00
0,HUEVO EXTRA ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,VASO 2,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,EXTRA PASTOR ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,huevo,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,CHICLES ,4.00,,4.0,16.00,0.0,0.0%,0.00,,16.00
0,CLORETS,6.00,,2.0,12.00,0.0,0.0%,0.00,,12.00
0,VASOS PLASTICO ,8.00,,1.0,8.00,0.0,0.0%,0.00,,8.00
0,chuleta,12.00,,1.0,12.00,0.0,0.0%,0.00,,12.00
0,chuleta,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,CACAHUATES NATURALES,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,HEALTY,35.00,,5.0,175.00,0.0,0.0%,0.00,,175.00
0,pastor,15.00,,2.0,30.00,0.0,0.0%,0.00,,30.00
0,GALLETA HEALTHY ,30.00,,1.0,30.00,0.0,0.0%,0.00,,30.00
0,CLORETS ,2.00,,2.0,4.00,0.0,0.0%,0.00,,4.00
0,CARGA EXTRA,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,EXTRA POLLO,10.00,,5.0,50.00,0.0,0.0%,0.00,,50.00
0,MAKU HORCHATA,20.00,,2.0,40.00,0.0,0.0%,0.00,,40.00
0,EXTRA HUEVO ,20.00,,2.0,40.00,0.0,0.0%,0.00,,40.00
0,2 PESOS ED TORTILLA,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
0,lechera,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
,,,,,,,,,Pag.: 6,
ID,Nombre,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,4 TORTILLAS,3.00,,2.0,6.00,0.0,0.0%,0.00,,6.00
0,GALLETA NUEZ Y ,35.00,,2.0,70.00,0.0,0.0%,0.00,,70.00
0,sdemi,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,CARGA EXTRA CAPUCHINO,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,CHICLES,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,GALLETAS H,35.00,,1.0,35.00,0.0,0.0%,0.00,,35.00
0,MILANESA,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,TORTILLAS ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,PASTOR,20.00,,2.0,40.00,0.0,0.0%,0.00,,40.00
0,xtra queso,5.00,,2.0,10.00,0.0,0.0%,0.00,,10.00
0,CLORETS ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,TE MANZANA,30.00,,1.0,30.00,0.0,0.0%,0.00,,30.00
0,SEMILLAS ,20.00,,3.0,60.00,0.0,0.0%,0.00,,60.00
0,PALOMI,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,EXTRA PIERNA CLUB ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,GALLETAS NATURALES,35.00,,1.0,35.00,0.0,0.0%,0.00,,35.00
0,CHICLES ,8.00,,2.0,16.00,0.0,0.0%,0.00,,16.00
0,MAKU JAMAICA ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,MILANESA,10.00,,2.0,20.00,0.0,0.0%,0.00,,20.00
0,TORTILLA 4 PESOS ,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,tortilla 15 pesos ,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,10 PESOS QUESO HEBRA,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,HEALTHY,25.00,,1.0,25.00,0.0,0.0%,0.00,,25.00
0,TORTILLA 20 PESOS ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,15,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,BAGUETTE,45.00,,1.0,45.00,0.0,0.0%,0.00,,45.00
0,tridents,0.00,,1.0,0.00,0.0,0.0%,0.00,,0.00
0,PECHUGA ASADA,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,PRIUEAB,1.00,,1.0,1.00,0.0,0.0%,0.00,,1.00
0,QUESO DE HEBRA,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,EXTRA HUEVO,10.00,,8.0,80.00,0.0,0.0%,0.00,,80.00
0,MASAFINA,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,5TORTILLA,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,prueba,0.00,,1.0,0.00,0.0,0.0%,0.00,,0.00
0,cacahuates,25.00,,1.0,25.00,0.0,0.0%,0.00,,25.00
0,TORTILLAS ,5.00,,5.0,25.00,0.0,0.0%,0.00,,25.00
